"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"207350_s_at" -3.90067622640788 7.36136463707633 -4.34677552755826 0.000279380600492985 0.0311000061908056 0.486194455072269
"212493_s_at" -2.40101690417167 8.1140622906757 -4.27296180449091 0.00033351814709288 0.0337717443763095 0.322886673029157
"218496_at" -2.06659107239598 9.55970502618049 -4.25657037335206 0.000346899537962126 0.0344994687820638 0.286620012261258
"218251_at" -2.11752802790108 8.45795940564416 -4.23684143185245 0.000363719876634512 0.0354962852855575 0.24296993283929
"207334_s_at" 2.44479422164978 7.84674811720171 4.2188802987435 0.000379741390394441 0.0361517049308417 0.203232866648752
"203776_at" -2.57399136027026 8.40093067107788 -4.2084428639634 0.000389373896528389 0.036754585987131 0.180142274619416
"217208_s_at" 2.33018726280599 8.57595255658836 4.1738178289711 0.000423111950731502 0.0389490286216763 0.103549950428614
"212877_at" -2.57722117510764 7.44013432875512 -4.0168574050598 0.000616561213863538 0.0459982959737899 -0.24334735795906
"213329_at" -2.25465817984341 9.3034448365408 -4.01630029972476 0.000617385217765551 0.0459982959737899 -0.244577288598925
"202840_at" -2.38265689861081 8.42302778529325 -4.00388383406473 0.000636037336958321 0.0469744676620033 -0.271986176413402
"200713_s_at" -2.12861267104398 7.92789611836282 -3.99118718824477 0.000655690330642296 0.0477655602596951 -0.300007099804763
"201009_s_at" 2.12726919020019 8.58074751109663 3.97165755805933 0.000687105626126947 0.0489030416397124 -0.343094615729584
"211426_x_at" 2.51836176342552 7.6707301570078 3.96365679651209 0.000700403815433138 0.049065710051585 -0.360741441678349
"219906_at" -2.01079659914372 9.58693059719036 -3.95892436535521 0.000708389789720815 0.0493149979550331 -0.37117808513335
"212111_at" -2.14460330864396 8.93531470258966 -3.94884050000376 0.000725709508801879 0.049590891802391 -0.393412893467126
"37462_i_at" -3.40277194166985 6.94036118206581 -3.8661165549053 0.000884625261765015 0.053118051095254 -0.575612592202491
"202448_s_at" 2.27001924400021 9.1891671159846 3.85991312710894 0.000897848515871353 0.0536583949921366 -0.589259327265376
"206512_at" -3.2778438736402 7.64767686494961 -3.84883007468281 0.000921962978442809 0.0539364719994481 -0.613634377795056
"206184_at" 2.77620875929401 9.05915274828175 3.82640374470814 0.00097273948438031 0.0554212723619953 -0.662931501941469
"209151_x_at" 2.52592247519165 9.58076846573852 3.76384757870291 0.00112948480661744 0.0586041483503381 -0.800247126517413
"206206_at" -2.06612948235137 9.0348940960713 -3.75279976281138 0.00115965543442977 0.0589729351387318 -0.824465884227677
"203391_at" -2.05420345504099 8.94736953878679 -3.71996554081646 0.0012541061548566 0.0616697829176784 -0.896382771862713
"217896_s_at" -2.69938994052224 8.83040097392908 -3.71355144360969 0.00127342551250761 0.0616697829176784 -0.910420444948931
"215231_at" -2.16384950841687 9.07135581299062 -3.69510466176098 0.00133064118300892 0.0635934596191145 -0.950771308405305
"212334_at" -2.46132978941881 8.93867159737639 -3.63744737068236 0.00152633758862245 0.0667183544286526 -1.07667827967896
"201499_s_at" -2.48736372531059 8.14993709672584 -3.60591598838313 0.00164509289024245 0.068514664790933 -1.14538695159222
"205981_s_at" -2.1811917425602 8.38316727475188 -3.58664446414713 0.00172210747193789 0.0701034144437645 -1.1873260832037
"211108_s_at" 2.15626028442315 9.25843476914524 3.55956449392403 0.00183635508091601 0.0720011844361051 -1.24618483603011
"210440_s_at" 2.57271642033175 8.68935584669853 3.54661218466491 0.00189360362590403 0.0720011844361051 -1.27430556754132
"205837_s_at" 2.14919044288153 9.32031537942978 3.54603814675563 0.00189618104574757 0.0720011844361051 -1.27555138022255
"219875_s_at" 2.02385741068275 9.87284874041159 3.53255238693783 0.00195773372073336 0.0729304918006304 -1.30480711958319
"219375_at" 2.09800135375775 7.96202418486373 3.53121933724241 0.00196392371573821 0.0730389459357265 -1.30769776150847
