,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3005,3004,3007,3006,3001,3003,3002,3009,3008,3024,3023,3022,3021,3020,3018,3019,3012,3013,3010,3011,3016,3017,3014,3015
1,,,,,,,,,,,,,,,,,,,,,,,,
