,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,flu003,flu002,flu001,flu008,flu007,flu006,flu005,flu004,flu016,flu009,flu013,flu014,flu015,flu017,flu010,flu012,flu011
1,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
