"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"217587_at" 2.47769683829538 8.81423523673818 5.83856107196733 5.04420941485318e-07 0.00367884421573115 6.05253245363471
"211500_at" 2.2007241659005 8.34574335798709 5.55593272436387 1.33151290486454e-06 0.00494368549694455 5.17403836110106
"210807_s_at" 2.1540552370848 8.80853632578729 5.43689290488167 2.00007302275715e-06 0.00556945334099514 4.80556403091753
"214145_s_at" 2.26505364441034 8.86425167672327 5.16503366755708 5.03634105740538e-06 0.00596100866389346 3.96894839288832
"220778_x_at" 2.59107740962581 8.35419495262128 5.10926442214549 6.07988128938669e-06 0.00596100866389346 3.79834598502352
"221459_at" 2.5813270377529 8.42829609260632 5.10114709817156 6.24859994713785e-06 0.00596100866389346 3.77354742925971
"208429_x_at" 2.46750502575641 8.19658085333103 4.97381748998914 9.58746971992534e-06 0.00596100866389346 3.38572798786013
"216688_at" 2.30558623247025 8.37382375943326 4.8730032393765 1.3431487184477e-05 0.00653219212342484 3.08036741366877
"217006_x_at" 2.09093622740439 9.10885077395898 4.83375115978457 1.53084461291068e-05 0.00653219212342484 2.96191769771741
"222160_at" 2.13625162856072 8.66947230233525 4.83134205700684 1.54317019350102e-05 0.00653219212342484 2.95465626948507
"214951_at" 2.224004282613 8.73752312203846 4.82987228736827 1.55073781391603e-05 0.00653219212342484 2.95022663021629
"213845_at" 2.06194549288347 9.23157052563128 4.66937725154704 2.63930370413887e-05 0.00817705247112352 2.46884814292029
"221650_s_at" 2.30736655420364 8.45112597591686 4.63740870686896 2.93246222074872e-05 0.00871019478554923 2.37354598970333
"216711_s_at" 2.18558929743172 9.22681661761853 4.62689491498638 3.0356842678008e-05 0.00889814979392085 2.34224778525905
"206537_at" 2.30938477297941 8.78072696608521 4.55268956757994 3.87266386804383e-05 0.0105208942668796 2.12199722679992
"217468_at" 2.11157113478258 9.21666354888101 4.4024309193565 6.31728526241154e-05 0.0138529943610697 1.67971495153918
"219422_at" 2.08993359757979 8.98112697829231 4.37864098372255 6.82288683289326e-05 0.0144755666644155 1.61017375882127
"201148_s_at" 2.34521792429104 8.24707958715066 4.34328064283809 7.64817081782743e-05 0.0152123483311377 1.50706776492623
"205320_at" 2.10352331966158 9.06046915597016 4.33773728153678 7.78608983884697e-05 0.0152149757315784 1.490932365962
"210228_at" 2.08623626278906 8.68102587257234 4.3105050355584 8.4996573264734e-05 0.0159286641967651 1.41177898722174
"214388_at" 2.16762268432118 8.57353241584353 4.30229186022131 8.72711791152467e-05 0.0162011671429196 1.38794379893197
"212844_at" 2.57596807188226 8.21401820093357 4.27326740634998 9.57948819569065e-05 0.0165475350810931 1.30385330508253
"214223_at" 2.03214650847001 8.85725766354318 4.24267711432736 0.000105655992779148 0.0174348040825265 1.21546685778434
"203015_s_at" 2.01612855796195 9.50551111177887 4.2071385523138 0.000118356956775746 0.0186163573589193 1.11309989998649
"202549_at" 2.03004668208257 8.92640074978149 4.13816389716448 0.000147383928148818 0.0203929923439207 0.915423465615424
"213299_at" 2.19486899132873 9.01931119167223 4.12568669431327 0.000153327505153165 0.020899893710028 0.879809515771713
"214532_x_at" 2.13356331952793 9.1551919428227 4.10944452767638 0.0001614143848123 0.0211609355726112 0.833517025886022
"214267_s_at" 2.23332578542465 8.62396852660376 4.10522739526682 0.000163580914385984 0.0211609355726112 0.821510240576999
"208797_s_at" 2.11227498007063 8.83759643885393 4.08125358330453 0.000176444425205681 0.0222070760469319 0.753353304566361
"206605_at" 2.18110581817626 7.94457123050177 4.04924329133081 0.000195159758701004 0.0228736284591358 0.662617314731529
"210693_at" 2.09389091888061 8.89728474737851 4.02056096725355 0.000213554549573099 0.0236264930054505 0.581580146243458
"216567_at" 2.3677001396608 8.6938676250238 4.0104423355706 0.000220436551717087 0.0237358331045733 0.553052359262774
"216460_at" 2.13792008389346 8.50051029638088 3.99645790400045 0.000230302601031022 0.0245476126467372 0.513678303929716
"214900_at" 2.30212780286812 9.0060052259657 3.90834706272704 0.000303042194992827 0.0276675040076033 0.267035516244244
"207959_s_at" 2.19711594514206 8.86135051399992 3.81820715122979 0.000400254617737618 0.0307435313606255 0.0173825598458075
"211140_s_at" 2.06701127011367 8.63482975084686 3.7464671984248 0.00049849630267206 0.0339342939645794 -0.179285144843202
"207582_at" 2.11713745583313 8.38591215577453 3.61558265198092 0.000740553715669237 0.0409362658162868 -0.533210563386038
"214370_at" 2.00235602603991 8.81991261749535 3.5526883706799 0.000893693097158401 0.0458728136529901 -0.70093093071651
"205991_s_at" 2.02025728035763 8.98641617883349 3.52954272517091 0.00095733912177508 0.0470786834785507 -0.762254386608297
"203859_s_at" 2.19265069502297 8.63454301317773 3.49732020463601 0.00105319933536685 0.0496447176000448 -0.847261841174211
"211221_at" 2.14750043164566 8.87871664616847 3.48056968096053 0.00110658736985109 0.0509264831708926 -0.891282245675017
"202728_s_at" 2.14738356021623 8.27010349068965 3.44220059578761 0.00123878402665262 0.0523417908267393 -0.991672120467802
"204316_at" 2.15520629095528 8.68951056515716 3.35423933571275 0.00160094706924332 0.0577667039678746 -1.21942708766177
"210677_at" 2.16595960751888 8.51337527744964 3.31557724297988 0.00179016705973921 0.0607919993747111 -1.31845255907324
"217296_at" 2.02994099355841 8.94762852258734 3.2434920475444 0.00220097579599087 0.0657398908793433 -1.50126612371864
