logFC AveExpr t P.Value adj.P.Val B
206715_at -2.4426785168866 8.79692784884959 -5.08420177674466 7.25183283547703e-06 0.161549080075922 2.82186892067476
212270_x_at 2.0590991167922 9.03596354138847 3.55605177131787 0.000912861474415597 0.366704412929265 -0.854269707100142
214748_at -2.16630063520389 8.89472824657705 -3.43961389066435 0.00128382200662141 0.366704412929265 -1.11446960290988
200818_at 2.24011418275981 9.49166313570284 3.35346306794059 0.00164674315647784 0.375949012908238 -1.30423754530646
