"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"204786_s_at" -3.20831050445922 9.27018773277823 -10.7146709144446 4.51200480457809e-13 1.00513931031586e-08 19.3174212397455
"213956_at" -4.25087602943174 8.07476672744313 -9.38237996554075 1.84230006069459e-11 1.52574483982866e-07 15.8767751784924
"212027_at" -3.33789675816859 8.86157945977915 -9.3082931794638 2.27961210571041e-11 1.52574483982866e-07 15.6777782629623
"53720_at" 3.3760444364353 9.24357956616509 9.24455253886877 2.73958762818811e-11 1.52574483982866e-07 15.5059383565447
"201996_s_at" -3.84200327744372 8.11566768904088 -9.04104643118339 4.94338110372813e-11 1.83539501412919e-07 14.9534166245762
"201606_s_at" -2.93313101907258 9.33455804910696 -8.82859062671699 9.2048087259882e-11 2.56319404986049e-07 14.3703684044971
"210866_s_at" 3.10037682553427 8.4743434039232 8.66235037554767 1.50292791827945e-10 3.04370229413739e-07 13.909799357641
"209024_s_at" -3.82720723715436 7.63004712590825 -8.34413118234968 3.87688173886316e-10 7.05451527062022e-07 13.0178203593411
"213446_s_at" -2.50917901254851 8.3900268076417 -8.30494721450251 4.36022979690523e-10 7.05451527062022e-07 12.9070700717095
"208900_s_at" -3.51906178481569 7.88145954938622 -8.29940058484091 4.43341624943588e-10 7.05451527062022e-07 12.8913770687661
"209393_s_at" 3.03807970185794 8.93144854396931 8.24801150306362 5.17353485293337e-10 7.68338906125311e-07 12.745796160503
"76897_s_at" 2.74907711173659 9.36370522307511 8.20578282775359 5.87462965013564e-10 8.17932029475448e-07 12.6259155058365
"218521_s_at" 2.76538358207764 9.49234093894563 8.18004262974588 6.34841464866011e-10 8.31903724283537e-07 12.5527331235712
"206667_s_at" 2.45167923162754 9.10801912439246 8.1402894578995 7.15732051938022e-10 8.4297229772887e-07 12.4395477790045
"212007_at" -3.47100724670164 7.78532484056986 -8.1387948458692 7.18969055835549e-10 8.4297229772887e-07 12.4352884866531
"219878_s_at" -2.40852637435248 8.34318837991515 -8.08651688677191 8.42022279364699e-10 9.3788651587037e-07 12.2861351870639
"213517_at" -2.84645429198311 7.84756917478141 -7.92112888659674 1.39069002275475e-09 1.47525722080512e-06 11.8120851056585
"211993_at" -3.92070672410234 7.42570940814884 -7.86017826358443 1.67436662036522e-09 1.69544841826709e-06 11.6365643178668
"203147_s_at" -2.14880252398513 8.92860953611822 -7.82123392505908 1.8856000106946e-09 1.82632658427146e-06 11.5241899075338
"221664_s_at" 2.95730815170246 8.92883692112627 7.56597639511811 4.1235506542943e-09 3.82751408023809e-06 10.7834345129969
"221765_at" 3.38513921787978 8.98980153588589 7.51919573678676 4.76259955322784e-09 4.24385720989026e-06 10.6469145200302
"208765_s_at" -2.20471905537579 7.63817388991729 -7.3934879141908 7.02129240638641e-09 5.9928260399763e-06 10.2789498107249
"208648_at" -3.93809402166966 8.49789916200989 -7.38253127868933 7.26337940832967e-09 5.9928260399763e-06 10.2468032874337
"209376_x_at" -2.43886436473275 8.64371815148512 -7.35441798316942 7.92379721238422e-09 6.23760653967254e-06 10.1642658471977
"214500_at" 2.2815325857404 9.4742651324483 7.34651792910964 8.12006058493081e-09 6.23760653967254e-06 10.1410583836017
"35179_at" -2.78225361830203 9.02532511322707 -7.30813961080071 9.14561094164711e-09 6.53506386285437e-06 10.0282317495485
"201299_s_at" 2.72277117525009 9.24587584732279 7.30358198867807 9.27577993092399e-09 6.53506386285437e-06 10.0148236945975
"218273_s_at" 2.04526672837228 9.86348270158501 7.29972655647241 9.38735213948647e-09 6.53506386285437e-06 10.003479877631
"208945_s_at" 3.03505281258625 8.91216173942611 7.27810829117344 1.00385178949768e-08 6.77660797413326e-06 9.93984668148392
"211947_s_at" -4.08781049705282 8.24461889799063 -7.25759446649101 1.06985191391669e-08 6.82385079149478e-06 9.87942406169418
"216067_at" 2.44478639145422 8.8735475177678 7.25691428283411 1.07211373929307e-08 6.82385079149478e-06 9.87741994088301
"215415_s_at" 2.78817901016725 9.13877319679813 7.17619050070041 1.37787147527833e-08 8.5263452374376e-06 9.63927279275369
"201070_x_at" -2.01540494875979 7.86996481598111 -7.15991517343651 1.44945891020129e-08 8.72691787636596e-06 9.5911874739922
"200767_s_at" 2.46366664882742 9.53606860959832 7.09006697048315 1.80182112561165e-08 9.91856631250687e-06 9.38456033977117
