"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"210598_at" 3.07561913711648 8.84421306896009 7.08744101599342 1.81663544399485e-08 9.91856631250687e-06 9.37678403611858
"212804_s_at" 2.51334371634962 9.66380512569301 7.08588427469574 1.82547568708884e-08 9.91856631250687e-06 9.37217374594116
"204842_x_at" -3.59736620545077 8.6196879753174 -7.07669073859686 1.87857405165841e-08 9.96404622590341e-06 9.34494293835258
"216109_at" 3.05332291519827 9.03382770253554 7.05815006657194 1.9904405589568e-08 1.02505992614382e-05 9.29000492828143
"201730_s_at" -2.86187605923555 8.88520210163033 -6.92736085421307 2.99545007130905e-08 1.41977960082025e-05 8.90167519098841
"206744_s_at" 2.08637036338705 9.88590734606933 6.85447889622032 3.76358419084539e-08 1.71104826570332e-05 8.68471097879661
"218819_at" 2.60076258304321 9.36906998369832 6.84337302235388 3.89692330674546e-08 1.72873328931899e-05 8.6516157642651
"211930_at" -2.30735254294502 8.83293983905059 -6.8361337951983 3.9863885012374e-08 1.72873328931899e-05 8.63003835372579
"203380_x_at" -2.63856255669769 8.65932001098262 -6.83224574212336 4.03528890984366e-08 1.72873328931899e-05 8.61844800888644
"210974_s_at" 2.45797340353411 9.30902797121202 6.82400379158492 4.14095432366403e-08 1.74052904657101e-05 8.59387513079554
"214972_at" 2.63520046916112 9.15438431389532 6.81647186464441 4.23995045952897e-08 1.7491365997579e-05 8.57141500974896
"214869_x_at" 2.02970819574351 9.91131405730636 6.79249505704496 4.5712317623041e-08 1.8515150903427e-05 8.49989044084796
"213272_s_at" 2.90293728346223 9.08932581951982 6.77061279862785 4.89626345274746e-08 1.85798794186757e-05 8.43458006483427
"202631_s_at" 2.78106036512992 9.39429097927719 6.76781530756149 4.93945947667768e-08 1.85798794186757e-05 8.4262282924216
"212162_at" 3.65812521108198 8.4447912362999 6.76366625198762 5.00423201113499e-08 1.85798794186757e-05 8.4138405364316
"215029_at" 2.45901823099112 9.4857788585753 6.75802806897092 5.09362371652913e-08 1.86017468087081e-05 8.39700490158043
"218401_s_at" 3.75013654248545 8.4919350529536 6.74189491314065 5.35838526260565e-08 1.89474203960422e-05 8.34881975174248
"210180_s_at" 2.58558566608834 9.40600770807744 6.71668724079189 5.80006125734771e-08 2.01887444734273e-05 8.2734980195814
"220251_at" -2.72141694499382 9.09613262435462 -6.70524618070415 6.01243445187391e-08 2.06060003514454e-05 8.23929830180102
"208184_s_at" -2.6025978386449 8.19761757771699 -6.66836029768171 6.75186053548243e-08 2.22416320482115e-05 8.12898360243745
"201831_s_at" 2.66281510074931 9.4132224686735 6.65073950352804 7.13671905073361e-08 2.30412594627815e-05 8.07625603985047
"204285_s_at" 2.6948161688348 9.25572999784811 6.63630685283863 7.46832381709962e-08 2.34326548835955e-05 8.03305488330658
"217100_s_at" 2.30468280348039 9.24171472856583 6.58686491202831 8.7262743473547e-08 2.62696234643271e-05 7.88497040433831
"212417_at" 2.23419058683749 9.76146506576597 6.54870895870382 9.8409806521823e-08 2.81060930754699e-05 7.77059705833731
"208663_s_at" -3.98671537918346 7.28461506457582 -6.52725476510668 1.05294995074248e-07 2.96918557628992e-05 7.70625408864541
"205585_at" 2.10021060029721 9.03331635587216 6.5218093143361 1.07118295197492e-07 2.97173119533942e-05 7.68991898219001
"201868_s_at" 2.58097935967261 9.28956480618067 6.51905299290158 1.08053250806883e-07 2.97173119533942e-05 7.681650080293
"201810_s_at" -2.45617965565338 8.58192249577228 -6.51007631819026 1.11155378472574e-07 2.98338357377533e-05 7.65471763311553
"207968_s_at" 2.61247643662475 9.34139195879476 6.49295861488477 1.17321001857436e-07 3.11138090283108e-05 7.60334891454515
"201024_x_at" -2.19028371402696 8.92284415130145 -6.48893099352745 1.18820947768046e-07 3.114087356975e-05 7.59126031284221
"219088_s_at" 2.62769065306805 9.49666877462036 6.45080605845024 1.34008851893753e-07 3.35428673442375e-05 7.47679335102776
"221287_at" 3.24617769013398 9.09489891014673 6.42587015380362 1.44982600484675e-07 3.54400155773578e-05 7.40188958803185
"211192_s_at" 2.37489494943563 9.3865917445044 6.42287308368509 1.46360884908961e-07 3.54400155773578e-05 7.39288499541032
"210537_s_at" 3.68585347806127 8.50295761019666 6.41908653577969 1.48121057089896e-07 3.54805676214151e-05 7.38150789024658
"214773_x_at" 2.26714438537302 9.72133278561604 6.40426320396188 1.55218526510219e-07 3.65014544388366e-05 7.33696366013448
"218564_at" 3.83885587972547 8.56369866609632 6.40004778029174 1.57298542269081e-07 3.65014544388366e-05 7.32429459086702
"203056_s_at" 2.32967981342127 9.55803067923276 6.38194361209939 1.66554556097911e-07 3.74781398605371e-05 7.2698758616292
"202773_s_at" 2.55312505375337 9.41403036998142 6.35564593805189 1.80982198991358e-07 4.03174044693049e-05 7.1908052253446
"212831_at" 3.43920162192436 8.77680058602673 6.32227739072522 2.01108850576184e-07 4.34961346047151e-05 7.09043639999447
"209258_s_at" 2.26079579805172 9.76284817354143 6.31576585843877 2.05290830707367e-07 4.3973690727577e-05 7.07084573146865
"209371_s_at" 3.31202895962959 8.34522641030009 6.25148339404662 2.51559396405935e-07 5.23737259227571e-05 6.87736828561025
"202867_s_at" 2.93758832937534 9.12508249772998 6.24623540844756 2.55769793854403e-07 5.27572564601345e-05 6.86156711936716
"203452_at" -2.0120141655448 9.28916361208445 -6.22588321115961 2.72777406328608e-07 5.49461157456694e-05 6.80028104051829
"222214_at" 2.19014301504325 9.65501625637726 6.21642066541089 2.81066653750287e-07 5.54099278371252e-05 6.77178271014566
"206562_s_at" -2.52515763667266 6.72076831547844 -6.20848696798746 2.88210947399766e-07 5.58302197845616e-05 6.74788692470163
"221220_s_at" 2.15431219080501 9.48305019813843 6.19668464000017 2.99177199585383e-07 5.71244675884525e-05 6.71233598472093
"212075_s_at" 2.40581121265156 9.14934311324427 6.19579479431308 3.00020770653542e-07 5.71244675884525e-05 6.70965544739384
"212529_at" 2.53178065499723 9.34608025578863 6.19131496887346 3.04303985978047e-07 5.72514288069691e-05 6.69616028491221
"201914_s_at" 3.17984402023402 8.79724808912491 6.18973670819556 3.05827536384133e-07 5.72514288069691e-05 6.69140576346244
"221638_s_at" 2.11879858037495 8.52230394176803 6.18132473082382 3.14077828878352e-07 5.83059316160255e-05 6.66606357567369
"211800_s_at" 2.14578513562655 9.71262128088435 6.14231383456099 3.55352489636474e-07 6.43592472490385e-05 6.54851633265798
"215078_at" 2.32383768031459 9.49297752442136 6.13419737894841 3.64600692314758e-07 6.49776769815668e-05 6.52405569914896
"209136_s_at" 2.23749323195125 9.58298633757801 6.11281084383743 3.9014075359529e-07 6.78997309987678e-05 6.45959657022589
"208721_s_at" 2.67378727967117 8.81522641387165 6.10064163623258 4.05465649657688e-07 6.94812175186485e-05 6.42291465191472
"202065_s_at" 2.00033619463907 9.81644322786956 6.09314431543231 4.15205868266544e-07 6.97265695353876e-05 6.40031399917968
"212078_s_at" -3.93341934583494 7.59105671976851 -6.09232274310073 4.16287370301502e-07 6.97265695353876e-05 6.39783731300589
"216392_s_at" 2.78538461985033 9.04753593393322 6.07656796472256 4.37581231577669e-07 7.22073858952276e-05 6.35034130114231
"207223_s_at" 2.86133966516384 9.21691113054092 6.07236712967298 4.43440970265202e-07 7.2636283048514e-05 6.33767635652795
"203759_at" 2.95057774044015 8.70081997869029 6.0616844101739 4.58698747992985e-07 7.40780123068687e-05 6.30546822280886
"205069_s_at" 2.93969289823989 8.97346029944993 6.05260872591403 4.72073599681414e-07 7.56574358280781e-05 6.27810397874471
"209715_at" 2.70047911525105 9.27234433446684 6.04580343377258 4.82358151027844e-07 7.59403019312848e-05 6.25758450052421
"207492_at" 2.35735161266204 9.53713200920307 6.04566681122387 4.82566903970546e-07 7.59403019312848e-05 6.25717254678698
"204180_s_at" 2.75474742929783 9.27165811841238 6.04261963703305 4.87246425671179e-07 7.59403019312848e-05 6.24798443499336
"221986_s_at" 2.4276421286272 9.61210042008132 6.04027168328952 4.90883129600261e-07 7.59403019312848e-05 6.24090459536817
"214953_s_at" -2.89512028504213 8.21028592020692 -6.02432223339472 5.16316742023255e-07 7.87807401510415e-05 6.19281010127401
"212746_s_at" 2.57923227958462 9.14167622443327 6.01187718224591 5.37075008781925e-07 8.05352091997772e-05 6.15528093215058
"213922_at" 2.89859413912583 9.22801738294317 6.01060857588039 5.39237404246882e-07 8.05352091997772e-05 6.15145524721499
"208879_x_at" 2.05794813460469 9.58848072380802 5.96436937262316 6.24294880321982e-07 9.21020996618066e-05 6.01200434325074
"216969_s_at" -2.38261842856179 8.43391150966311 -5.95669478339184 6.39658411171497e-07 9.37478317478121e-05 5.9888574766983
"220702_at" 2.34676646309023 9.49218079050357 5.95030565922568 6.52736781297058e-07 9.50393286075462e-05 5.96958740450996
"203883_s_at" 2.10570063893403 9.70345055008648 5.91571755936265 7.28324206246668e-07 0.000102689103433905 5.86526472977073
"217644_s_at" 2.02401227976344 9.96940138898493 5.87257645757258 8.34988044952305e-07 0.0001135539688324 5.73514367588914
"202425_x_at" 2.07086364187069 9.53319979300544 5.86883663716116 8.44939610125769e-07 0.0001135539688324 5.72386388458454
"211009_s_at" 2.54030028627698 9.12080451156816 5.86833684230082 8.46278503658107e-07 0.0001135539688324 5.72235644088999
"217677_at" 2.19023282648327 9.16207313064257 5.86658686914825 8.50983221376781e-07 0.0001135539688324 5.71707831023581
"210969_at" 2.92850646609094 8.98165068053866 5.86424788861211 8.57312316480027e-07 0.0001135539688324 5.71002367941298
"212840_at" 2.66226748068368 9.33543589390587 5.86371440684959 8.58762454397137e-07 0.0001135539688324 5.70841464074503
"214786_at" 2.67147893461442 8.72124708032007 5.86159171358783 8.64556802856179e-07 0.0001135539688324 5.70201237947566
"209682_at" -3.11661134190832 8.95367423295164 -5.86086415533612 8.66551811352877e-07 0.0001135539688324 5.6998179931224
"214698_at" 3.48400577793799 7.29985498754862 5.85333199566331 8.87477865793611e-07 0.000114279447492973 5.67710040396033
"204263_s_at" 2.69680090384741 9.07993991880331 5.8366887986146 9.35525273578374e-07 0.000119089694397174 5.62690424606891
"212207_at" 2.19872627028072 9.64512683601767 5.83341060045718 9.4529132145058e-07 0.000119649174817924 5.61701734390367
"201625_s_at" 2.60395748667398 9.53113656265081 5.82156799176985 9.81428239717142e-07 0.000122933961040323 5.58130118874633
"200917_s_at" 2.47241001973563 9.20039239180917 5.81616405890552 9.98373603425227e-07 0.000122933961040323 5.56500381443143
"212318_at" -2.39267216928969 9.30910806003485 -5.8103054212914 1.01707530626083e-06 0.000124491135151498 5.54733540585124
"203176_s_at" 2.66878353473713 9.44211781975068 5.79793973527426 1.05770577141412e-06 0.000127865604963949 5.51004416481234
"218987_at" -3.72427191747838 7.95496151991002 -5.79670117694219 1.06186366738477e-06 0.000127865604963949 5.50630912383084
"206420_at" -2.34036792562301 8.784880466701 -5.77957862806325 1.1210467660157e-06 0.000132838078758147 5.45467546893467
"208664_s_at" 2.62241299674223 9.18608490490373 5.77579418581912 1.13456588606959e-06 0.000133728699703557 5.44326381025724
"214501_s_at" 3.76119588255904 8.96865197471174 5.76626982134712 1.16931481751805e-06 0.000137099085209734 5.41454471529925
"219426_at" 2.44761494020677 9.5324511282952 5.74518038366665 1.25008810279106e-06 0.000144291257336147 5.35095757959206
"207907_at" 2.63999860380893 8.25952679405907 5.73475968075089 1.29203349016212e-06 0.000148364072475987 5.31954043047123
"208361_s_at" -2.51256450762849 9.11411056294181 -5.7304504850403 1.30978699160699e-06 0.000148867983734841 5.30654925155349
"201879_at" 2.65265291630893 9.40102478916925 5.71973523423371 1.3549960663207e-06 0.000153224605936174 5.27424676244006
"212220_at" 2.29634376235416 9.5286275232983 5.68689000225937 1.5035139187169e-06 0.000168310450086715 5.17524415446652
"202335_s_at" 2.13308359633935 9.16718262782411 5.65159354611813 1.68127474452626e-06 0.000181074759558837 5.06887904331861
"207038_at" 2.03570099821099 9.68169644784946 5.64628643683699 1.7097587311462e-06 0.000183116804104538 5.05288878999175
"201668_x_at" 2.30280285845731 9.30765462918234 5.63921583126427 1.74845716870982e-06 0.000185478001654042 5.03158627639787
"215018_at" 2.3162382848486 9.23970223193817 5.63548962141325 1.76920165737125e-06 0.000186275196849805 5.02036038131469
"218197_s_at" 2.67621509738051 9.29745626839335 5.631067344834 1.79414017433587e-06 0.000187643477294273 5.00703794269096
"219239_s_at" 2.1543849852673 9.32223532486887 5.62383926469303 1.8356587819595e-06 0.000189053505533098 4.9852639698646
"207474_at" 2.63325919830414 8.86242649303154 5.61939043486831 1.86168831952085e-06 0.000189128267419952 4.97186298042074
"201040_at" 2.18994028067601 8.72347153258996 5.59680434525771 1.9996263421985e-06 0.000200391783169437 4.90383697321729
"205073_at" -2.05092615553174 9.53145478212579 -5.58352675881692 2.08542541195432e-06 0.000207397419205832 4.8638541444154
"207566_at" 3.12358493919086 8.54888769058975 5.50661040196227 2.65979274237045e-06 0.000250009295028635 4.63235667804208
"213204_at" -2.17962751058271 9.29145628194212 -5.49729924944953 2.7392524296344e-06 0.000254259693229023 4.60434809397887
"220216_at" 2.49389548105448 9.25977194491169 5.48390039489707 2.8577642338931e-06 0.000263067825778663 4.56404985182059
"218302_at" 3.18407672286383 7.48335771564513 5.47013117645228 2.98487530498861e-06 0.000269311769929065 4.52264586951921
"213575_at" 2.19148383186512 9.16656284227339 5.47000775947048 2.98603973481524e-06 0.000269311769929065 4.52227479346917
"208793_x_at" -2.0203072491989 8.42671259589496 -5.46819387076069 3.00320592805209e-06 0.000269767816367808 4.5168210801244
"215429_s_at" -2.05397005661211 8.63323693683169 -5.452834257194 3.15256235163505e-06 0.000278810082785747 4.47064628419088
"208181_at" 2.69890447797475 8.58426280263755 5.4387866439773 3.29562791239809e-06 0.000287196376773689 4.42842542017327
"221985_at" 2.67783990375962 9.33841279527561 5.40992173368785 3.61020581010657e-06 0.000305796786432487 4.34170094610595
"221972_s_at" 2.14561719248606 9.67411883016634 5.40361532197981 3.68281856410432e-06 0.000310765716486939 4.322759052667
"207769_s_at" 2.14236109614299 7.53176251639392 5.39144056857575 3.8271377283449e-06 0.000320515590880975 4.28619702805626
"215663_at" 2.46730197560512 9.15002992289855 5.38979103042913 3.84711950211535e-06 0.000320982326399339 4.28124391188666
"219465_at" -2.10272480304056 9.6480726395245 -5.38855622285961 3.86214534365924e-06 0.00032103362619663 4.27753621637965
"213579_s_at" 2.2132431290965 9.65905351300736 5.38322348334044 3.9277108757345e-06 0.000324065241402732 4.26152482412587
"201977_s_at" 2.88386272116283 9.32677666958439 5.37569751011728 4.02213111204728e-06 0.000326852442522801 4.23893099363455
"203264_s_at" -2.2245109968997 9.5889082769689 -5.37469694542735 4.03485306341833e-06 0.000326852442522801 4.2359274229327
"202861_at" -2.05197355996637 9.64559169211456 -5.36248613881805 4.19337501363414e-06 0.000331343545512843 4.19927668059685
"212030_at" 2.16040111643 9.47082585622811 5.36240790549822 4.19441037099349e-06 0.000331343545512843 4.1990418907948
"215794_x_at" 2.46752923170275 7.94144268393032 5.36039747599047 4.22110428121675e-06 0.000332273993189631 4.19300841502513
"AFFX-HUMRGE/M10098_3_at" 2.48196588565928 8.83244320739203 5.3467130975317 4.40734763242126e-06 0.000344499941078767 4.15194667467703
"207540_s_at" 2.10970017032196 9.52262858370878 5.33561501370975 4.56437786062858e-06 0.000355526732871409 4.11865363818261
"220880_at" 2.30015737044766 9.64451605873266 5.33054085342369 4.63801580207118e-06 0.000358753743134513 4.10343420676726
"206147_x_at" -2.13320391886373 8.68816332147817 -5.32910449407602 4.65907451452715e-06 0.000359135650381043 4.099126279468
"218947_s_at" 2.49621293349491 9.43566433399211 5.31758064212779 4.83150644373732e-06 0.000369574616646229 4.06456860261284
"201073_s_at" 2.10242957741379 9.32680039889345 5.30673039004393 4.99965541126775e-06 0.00038012738428946 4.03203858433774
"212173_at" -2.47717171112778 8.99882538303171 -5.29784169159133 5.14173253991839e-06 0.000389599917659055 4.00539513314132
"217032_at" 2.70678513077539 8.64673491915764 5.29246775771454 5.22956948947288e-06 0.000394912269549109 3.98928953159077
"216804_s_at" 2.0821400452124 8.93595517147095 5.28774390938085 5.30801200064856e-06 0.000398676906511551 3.97513380751835
"207818_s_at" -2.13135904290822 8.9609178899799 -5.28004113615103 5.43843806157745e-06 0.00040384028232587 3.95205449241725
"206370_at" 2.24290401227766 9.83346758784479 5.26690358129087 5.6682794435641e-06 0.000416913862369739 3.91270061385478
"205062_x_at" 2.07385558430728 9.42594082633125 5.26091022481967 5.77631570811602e-06 0.000420168738945388 3.89475132808508
"220200_s_at" 2.88044418056031 8.68877806562061 5.25351181624147 5.91250588192605e-06 0.000425477193564802 3.87259758396372
"211159_s_at" -2.37471147252727 8.6324832857229 -5.25306608754713 5.92081204852937e-06 0.000425477193564802 3.87126302086189
"204881_s_at" 2.11366050285085 9.24388503142185 5.24816803389175 6.01285486533352e-06 0.000430702147379533 3.85659861765629
"212382_at" 2.02854274368063 9.70271038379893 5.23305114223204 6.30598881806515e-06 0.000444552256012777 3.81135071248569
"201101_s_at" -2.86883048054228 7.24220171458421 -5.22893492528888 6.38823785990189e-06 0.000448929888974872 3.79903294465373
"205188_s_at" 2.33707959583798 9.33736785721561 5.20726835328956 6.83906640273815e-06 0.000465914013008556 3.73421672945971
"201009_s_at" 2.56934605978538 8.68864681661842 5.191333471907 7.19067117455954e-06 0.000476928149370388 3.68657003469006
"218228_s_at" -2.07655130220871 8.53355705511313 -5.18337059230731 7.37304206133378e-06 0.000480807341688079 3.66276781237377
"204732_s_at" 2.04641115776008 9.50198445205789 5.18168009346976 7.41234607364073e-06 0.000480807341688079 3.65771531286217
"215457_at" 2.53986189154012 9.19228289198919 5.17325798357895 7.61128159857291e-06 0.000491463609829183 3.63254705745531
"204184_s_at" 2.29538545639702 9.80945836526189 5.17234043457117 7.63327238860247e-06 0.000491463609829183 3.62980544238576
"201711_x_at" -2.69104021760323 9.36068165443795 -5.16767586227768 7.74604698328111e-06 0.000495789871651891 3.61586887188438
"211310_at" 2.22610691833062 9.47757459967332 5.16704062382441 7.76153247567906e-06 0.000495789871651891 3.61397107680715
"217876_at" -2.46164194842625 9.08344964773686 -5.16043075213456 7.92449938913766e-06 0.000501517252533578 3.59422584860143
"222349_x_at" -2.09852883634944 9.62103033721769 -5.1536043621488 8.096370655719e-06 0.000505781857248071 3.57383763778177
"211707_s_at" -2.032381388653 9.37483856107387 -5.15161006655918 8.14727684506939e-06 0.000505781857248071 3.56788206049681
"211059_s_at" 2.07267819438698 9.69208506060541 5.14958459404618 8.19930406918488e-06 0.000505781857248071 3.56183372205206
"202984_s_at" 2.38778364620475 9.5649510950018 5.14839012900529 8.23014010270947e-06 0.000505781857248071 3.55826704809232
"217536_x_at" 2.58614789603188 9.33366206208068 5.14794615258621 8.24163101768863e-06 0.000505781857248071 3.55694136476094
"203324_s_at" -2.10481702629237 9.66348800781558 -5.133924180253 8.61285464958932e-06 0.000524231046527053 3.51508135671406
"200874_s_at" 2.76210537138932 9.08029433319249 5.13231476732493 8.65651069326069e-06 0.000525452557803184 3.51027783286514
"201927_s_at" 2.25690618184593 8.97960798612104 5.1286039262279 8.75800762279156e-06 0.000528732075373787 3.49920315187205
"205655_at" 2.77315013955533 9.20627494920256 5.11731330002345 9.07414233661541e-06 0.00054339964739995 3.46551467704163
"219794_at" 2.3183901874966 9.23948256470018 5.11555579836962 9.12436014700643e-06 0.000544942013391052 3.46027173280621
"216289_at" 2.38970876817627 8.92359107909672 5.09391767292069 9.76570046305797e-06 0.000574011897666339 3.39574403363592
"211136_s_at" -2.29533939128163 8.06424915699399 -5.09274350099084 9.80175373131065e-06 0.000574614915453704 3.39224371774344
"213998_s_at" -2.01695891398038 7.9222855191625 -5.07552273488688 1.03459428135495e-05 0.000598640436512837 3.34092168775214
"208488_s_at" 2.21891896645645 9.35362619951156 5.07046714817824 1.05113190020636e-05 0.000605066287878475 3.32586009924416
"207629_s_at" 2.56005392792697 7.42127310211426 5.06942526986138 1.05457248925671e-05 0.000605482251112671 3.32275643955183
"66053_at" 2.7292651241603 9.02779644811149 5.06535456993883 1.06812252871812e-05 0.000611685490289296 3.31063118970607
"203942_s_at" 2.03490561537305 8.9804458289842 5.06343512856021 1.07457148378907e-05 0.000613800742163312 3.30491436681758
"211540_s_at" 2.58948745803168 8.67424824393313 5.05230547804697 1.11273316036417e-05 0.000629580239867752 3.27177304899155
"220328_at" 2.86695150756842 9.13338539909389 5.04144356512477 1.15127164765889e-05 0.000642778909646541 3.2394406188797
"203120_at" -2.29466636231798 8.58176865605508 -5.0405586305966 1.15446910894859e-05 0.000642952708501192 3.23680696428561
"213055_at" 2.46800028453011 9.1115196034651 5.03556111268334 1.17269216003837e-05 0.000649852319631212 3.22193530387502
"209920_at" 2.31638326621674 9.46906758437219 5.02507100284578 1.21187603767374e-05 0.000666591666450815 3.19072685541765
"217094_s_at" 2.29051846665701 9.56881512959749 5.0225663464988 1.22142200077498e-05 0.000666902399785889 3.18327705375487
"222263_at" 2.67183267200026 8.98347927397039 5.0185603395099 1.23684518781587e-05 0.000670394166641708 3.17136298774669
"215616_s_at" 2.25647513553793 9.15813801949545 5.01526532299205 1.24967559338687e-05 0.000673713732498741 3.16156466985335
"201228_s_at" -2.29920489577269 9.01051391930188 -5.00431884099449 1.29325421158905e-05 0.000690035140771588 3.12902137282792
"216711_s_at" 2.40851912685154 9.06517065931804 4.99491380116624 1.33189661518432e-05 0.000703980764230248 3.10107064466325
"202435_s_at" 2.15365487237673 9.7056799473188 4.97156132146517 1.43286140930461e-05 0.000745790972314926 3.03171020179319
"216521_s_at" 2.23121700803649 9.39581900256241 4.96946976194328 1.44226589268064e-05 0.000748936067395028 3.02550081149906
"219267_at" 2.8131630785094 8.96062805220828 4.96769791575364 1.45028062954159e-05 0.000749603285018517 3.02024095379121
"217815_at" -2.72920379902561 9.06526027337774 -4.95367685161446 1.51527837010091e-05 0.000774216886484818 2.97863051966606
"220246_at" 2.05790063255788 9.1993011001456 4.9282042540142 1.64082688350812e-05 0.00082325901990789 2.90309140760938
"212073_at" 2.53889258074908 9.21056197670496 4.92301201513565 1.66765441841648e-05 0.000832967208050759 2.88770285085073
"215948_x_at" 2.77087373285984 9.1078118470764 4.91937643907352 1.68669687382219e-05 0.00084059387602096 2.87692972207356
"218430_s_at" 2.01760270113049 9.27182421248673 4.91501136416316 1.70984479890046e-05 0.0008464491685579 2.86399692930537
"219717_at" 2.48580114660548 9.34656175606776 4.90841820231064 1.74540558203643e-05 0.000859420426746141 2.84446700129981
"210498_at" 2.76771185190664 8.94416371713429 4.89353884265918 1.82837057751255e-05 0.000891260642346763 2.8004109557531
"210235_s_at" 2.11283943680153 9.17494530480144 4.88245821380871 1.89267805780092e-05 0.000910652032259852 2.76761969110362
"210264_at" -2.19560075795849 9.37706473415292 -4.87924769985505 1.91172514655885e-05 0.000917323832384598 2.75812148592493
"203990_s_at" 2.31294882151962 9.41936181267896 4.87804686374774 1.91889799295786e-05 0.000917323832384598 2.75456917197524
"215150_at" 2.59871651907366 9.0000812234915 4.87403971514086 1.94302671127569e-05 0.000926247685626975 2.74271649638389
"210953_at" 2.12135246329465 9.43727472177713 4.86571320379194 1.99412787540778e-05 0.000940881113086583 2.7180939521815
"221969_at" -2.99548083049631 9.3059179053539 -4.86449683864967 2.00170334225785e-05 0.000940881113086583 2.71449772292051
